id,parent_id,suburb_4th,suburb_3rd,suburb_2nd,suburb_1st,city_id,city_name,majorlocal,majorloc_1,NZdep_mean,NZdep_quant_mean
2967,0,Acland Lagoon,NA,NA,NA,0,NA,0,NA,929,3
2992,0,Boggy Pond Lagoon,NA,NA,NA,0,NA,0,NA,1011,6.999999999999999
2993,0,Boulder Lake,NA,NA,NA,0,NA,0,NA,970.0000000000001,5
2994,0,Bowscale Tarn,NA,NA,NA,0,NA,0,NA,998,6
2995,0,Braemar Kettleholes,NA,NA,NA,0,NA,0,NA,929,3
2998,0,Bulrush Lake,NA,NA,NA,0,NA,0,NA,1093,9
6991,0,Kapokapo Bay,NA,NA,NA,0,NA,0,NA,1284,10
3003,0,Catlins Lake,NA,NA,NA,0,NA,0,NA,964.6194032559116,4.8220738555742955
3004,0,Champagne Pool,NA,NA,NA,0,NA,0,NA,1027,7
3005,0,Charlies Ponds,NA,NA,NA,0,NA,0,NA,1008.0000000000001,7
3006,0,Cleopatras Pool,NA,NA,NA,0,NA,0,NA,1017,7.000000000000001
3007,0,Cloudmaker Lake,NA,NA,NA,0,NA,0,NA,1008,7
3009,0,Cobb Reservoir,NA,NA,NA,0,NA,0,NA,978,6
3010,0,Coe's Hole,NA,NA,NA,0,NA,0,NA,1052,8
3011,0,Conroys Dam,NA,NA,NA,0,NA,0,NA,933,2.9999999999999996
3012,0,Cosseys Reservoir,NA,NA,NA,0,NA,0,NA,912.9605476573247,1.9652713419884082
6995,8603,Karaka Bay,NA,NA,Queen Charlotte Sound (Totaranui),0,NA,0,NA,1017.9999999999999,7
6999,8620,Karepiro Bay,NA,NA,Hauraki Gulf,0,NA,0,NA,906.3228702258689,1.966349243658473
3025,0,Falls Dam,NA,NA,NA,0,NA,0,NA,927,2.9999999999999996
3026,0,False Lake,NA,NA,NA,0,NA,0,NA,NA,NA
3027,0,Fish Lake,NA,NA,NA,0,NA,0,NA,998,6
3028,0,Flaxy Lake,NA,NA,NA,0,NA,0,NA,1013,7
3029,8844,Forks Lagoon,NA,NA,NA,0,NA,0,NA,929,3
3037,0,Gisborne Water Supply,NA,NA,NA,0,NA,0,NA,992,6
3038,0,Glenorchy Lagoon,NA,NA,NA,0,NA,0,NA,926,3
3039,0,Grebe Tarn,NA,NA,NA,0,NA,0,NA,929,3.0000000000000004
3040,0,Green Lake,NA,NA,NA,0,NA,0,NA,946,4
3061,0,Horseshoe Lake,NA,NA,NA,0,NA,0,NA,999,6
3041,0,Green Lake,NA,NA,NA,0,NA,0,NA,NA,NA
3042,0,Greenland Reservoir,NA,NA,NA,0,NA,0,NA,936,3
3043,0,Greys Dam,NA,NA,NA,0,NA,0,NA,978.9065373004818,5.465090429440116
3045,0,Half Mile Lagoon,NA,NA,NA,0,NA,0,NA,1093,9
3047,0,Hartley Tarn,NA,NA,NA,0,NA,0,NA,929,3
3049,0,Hawkers Dam,NA,NA,NA,0,NA,0,NA,1005,7
3050,0,Hidden Lake,NA,NA,NA,0,NA,0,NA,NA,NA
3062,0,Hurimoana Swamp,NA,NA,NA,0,NA,0,NA,929,3
3077,0,Kangaroo Lake,NA,NA,NA,0,NA,0,NA,962.0000000000001,5
3079,0,Karere Lagoon,NA,NA,NA,0,NA,0,NA,1003,7
3080,0,Kautuku Swamp,NA,NA,NA,0,NA,0,NA,929,3
3081,0,Kelland Pond,NA,NA,NA,0,NA,0,NA,961,5
3083,0,Kinzett Tarn,NA,NA,NA,0,NA,0,NA,1062,8
3084,0,Knights Dam,NA,NA,NA,0,NA,0,NA,1005,7
3086,0,Kumara Reservoir,NA,NA,NA,0,NA,0,NA,911,2
3087,0,Lady Lake,NA,NA,NA,0,NA,0,NA,979,6
3088,0,Lake A,NA,NA,NA,0,NA,0,NA,921,3
3089,0,Lake Ada,NA,NA,NA,0,NA,0,NA,NA,NA
3124,0,Lake Brown,NA,NA,NA,0,NA,0,NA,NA,NA
3125,0,Lake Browne,NA,NA,NA,0,NA,0,NA,NA,NA
3090,0,Lake Adelaide,NA,NA,NA,0,NA,0,NA,NA,NA
3091,0,Lake Agnes,NA,NA,NA,0,NA,0,NA,NA,NA
3092,0,Lake Ahaura,NA,NA,NA,0,NA,0,NA,964.9999999999999,5
3093,0,Lake Alexander,NA,NA,NA,0,NA,0,NA,927,3
3096,0,Lake Alice,NA,NA,NA,0,NA,0,NA,NA,NA
3097,0,Lake Alta,NA,NA,NA,0,NA,0,NA,877,1
